ORDERID,PRODUCTID,CUSTOMERID,UNITPRICE,QUANTITY,NETSALES,UNITCOST
4574,54,99,500,469,192290,375
1907,60,3,115,1131,106653,86
1908,48,63,95,846,65903,71
4580,54,44,500,312,127920,375
1910,60,12,115,863,81381,86
4586,50,68,500,782,320620,375
1913,48,49,95,478,37236,71
4588,54,66,500,551,225910,375
1916,60,94,115,2183,205857,86
4595,54,52,500,782,320620,375
1922,60,117,115,1239,116838,86
4597,50,70,500,617,252970,375
4598,54,73,500,387,158670,375
1932,60,25,115,902,85059,86
4610,50,120,500,1170,479700,375
1934,48,89,95,495,38561,71
4610,54,120,500,1170,479700,375
1943,48,91,95,520,40508,71
4616,50,105,500,792,324720,375
1946,48,2,95,727,56633,71
4627,50,69,500,392,160720,375
1948,60,26,115,1040,98072,86
4665,54,81,500,752,308320,375
4670,50,80,500,463,189830,375
1950,60,41,115,687,64784,86
4670,54,80,500,463,189830,375
1962,60,112,115,1406,132586,86
4671,54,99,500,495,202950,375
1971,60,92,115,1470,138621,86
4680,50,12,500,784,321440,375
1972,60,101,115,870,82041,86
4681,54,15,500,463,189830,375
1973,48,102,95,389,30303,71
4682,54,18,500,629,257890,375
1980,48,28,95,562,43780,71
4687,50,89,500,713,292330,375
1982,48,57,95,593,46195,71
4691,54,100,500,700,287000,375
1983,48,59,95,616,47986,71
4697,54,58,500,684,280440,375
1988,48,14,95,274,21345,71
4704,54,118,500,1170,479700,375
1996,48,12,95,366,28511,71
4707,50,48,500,388,159080,375
2002,48,55,95,634,49389,71
4709,54,93,500,966,396060,375
2008,60,30,115,1176,110897,86
4724,50,72,500,475,194750,375
2023,48,108,95,392,30537,71
2029,60,75,115,1438,135603,86
2030,60,90,115,894,84304,86
2032,60,93,115,2604,245557,86
2046,48,2,95,752,58581,71
2055,60,62,115,1438,135603,86
2066,48,115,95,322,25084,71
2073,48,25,95,382,29758,71
2073,60,25,115,958,90339,86
2086,48,77,95,338,26330,71
2095,60,30,115,1215,114575,86
4729,54,47,500,328,134480,375
2098,60,46,115,1270,119761,86
4738,54,40,500,578,236980,375
2115,48,60,95,306,23837,71
4743,54,108,500,792,324720,375
2119,60,15,115,1318,124287,86
4748,50,110,500,792,324720,375
2120,60,23,115,1366,128814,86
4752,50,22,500,320,131200,375
2122,48,42,95,443,34510,71
4758,54,53,500,300,123000,375
2123,60,53,115,1182,111463,86
4765,50,48,500,399,163590,375
2126,48,28,95,605,47130,71
4771,50,105,500,780,319800,375
2131,48,113,95,331,25785,71
4785,50,29,500,430,176300,375
2132,48,2,95,778,60606,71
4823,50,40,500,618,253380,375
2142,60,12,115,950,89585,86
4825,50,69,500,395,161950,375
2144,48,48,95,312,24305,71
4842,54,66,500,347,142270,375
2148,60,95,115,2956,278751,86
4846,54,32,500,1616,662560,375
5825,50,12,500,711,291510,375
2149,60,96,115,703,66293,86
5833,50,57,500,1616,662560,375
2153,48,33,95,491,38249,71
5835,54,109,500,586,240260,375
2155,60,71,115,1470,138621,86
5839,50,65,500,1317,539970,375
5840,50,70,500,333,136530,375
2159,60,107,115,846,79778,86
5859,50,58,500,701,287410,375
2161,60,17,115,576,54317,86
5859,54,58,500,701,287410,375
2167,48,83,95,230,17917,71
5863,54,108,500,940,385400,375
2169,48,1,95,992,77277,71
5867,50,50,500,705,289050,375
2171,60,67,115,1047,98732,86
5871,54,86,500,785,321850,375
2202,60,73,115,868,81852,86
5874,54,85,500,441,180810,375
2211,48,41,95,285,22202,71
5875,54,56,500,642,263220,375
2230,48,34,95,616,47986,71
5883,50,14,500,338,138580,375
2234,48,101,95,395,30771,71
5886,54,74,500,733,300530,375
2239,48,48,95,343,26720,71
5900,54,92,500,1307,535870,375
2240,48,60,95,332,25863,71
5901,50,101,500,846,346860,375
2256,48,59,95,709,55231,71
5948,50,3,500,893,366130,375
2257,48,67,95,434,33809,71
5955,50,7,500,339,138990,375
2259,60,96,115,747,70442,86
5967,54,70,500,363,148830,375
2260,48,105,95,443,34510,71
5977,50,68,500,406,166460,375
5979,54,1,500,890,364900,375
2290,48,66,95,288,22435,71
2293,48,7,95,615,47909,71
5983,50,22,500,673,275930,375
2297,48,27,95,465,36224,71
5984,54,24,500,554,227140,375
2298,60,42,115,1185,111746,86
5985,50,27,500,1584,649440,375
2306,48,88,95,469,36535,71
5989,54,52,500,850,348500,375
2308,48,5,95,1031,80315,71
6007,54,71,500,473,193930,375
2311,60,56,115,1216,114669,86
6010,50,98,500,434,177940,375
2314,48,100,95,586,45649,71
6036,50,119,500,796,326360,375
2314,60,100,115,1469,138527,86
6048,50,24,500,573,234930,375
2319,60,109,115,641,60446,86
6072,54,96,500,583,239030,375
2331,48,85,95,486,37859,71
6074,50,119,500,823,337430,375
6077,50,27,500,1708,700280,375
2343,60,58,115,1829,172475,86
6081,50,102,500,956,391960,375
6082,50,3,500,918,376380,375
6083,54,19,500,678,277980,375
6086,50,110,500,487,199670,375
6102,54,15,500,670,274700,375
2359,60,55,115,1237,116649,86
6111,50,61,500,1021,418610,375
2365,48,61,95,817,63644,71
6114,54,100,500,835,342350,375
2370,48,12,95,427,33263,71
6115,50,109,500,694,284540,375
2381,60,74,115,1600,150880,86
6117,54,14,500,413,169330,375
2382,60,77,115,1023,96469,86
6120,54,50,500,777,318570,375
2386,60,42,115,1295,122119,86
6126,54,102,500,972,398520,375
6129,54,13,500,972,398520,375
2401,48,95,95,1311,102127,71
6147,54,96,500,617,252970,375
2402,48,99,95,282,21968,71
6153,54,105,500,646,264860,375
2442,60,9,115,676,63747,86
6203,50,109,500,656,268960,375
2445,60,118,115,2076,195767,86
6206,54,61,500,1099,450590,375
2447,60,3,115,1469,138527,86
6225,54,111,500,494,202540,375
2449,48,23,95,513,39963,71
6226,50,91,500,1602,656820,375
2450,60,32,115,2476,233487,86
6231,50,68,500,474,194340,375
6235,54,10,500,474,194340,375
2454,60,67,115,1204,113537,86
6237,54,1,500,949,389090,375
2458,60,14,115,891,84021,86
6252,50,42,500,375,153750,375
2459,60,21,115,726,68462,86
6252,54,42,500,375,153750,375
2473,60,70,115,1188,112028,86
6258,50,40,500,736,301760,375
2481,48,89,95,616,47986,71
6264,54,86,500,1115,457150,375
2487,48,65,95,1034,80549,71
6266,54,112,500,745,305450,375
6268,50,61,500,1167,478470,375
2495,48,15,95,605,47130,71
6273,54,22,500,805,330050,375
2506,60,39,115,1064,100335,86
6288,50,76,500,365,149650,375
6288,54,76,500,365,149650,375
2512,48,30,95,608,47363,71
6294,54,96,500,681,279210,375
2523,48,35,95,1232,95973,71
5349,50,18,500,441,180810,375
2532,60,103,115,1460,137678,86
5359,50,57,500,1195,489950,375
2541,60,11,115,1157,109105,86
5364,54,41,500,493,202130,375
2542,60,22,115,595,56109,86
5392,50,106,500,635,260350,375
2550,60,33,115,1359,128154,86
5392,54,106,500,635,260350,375
5393,50,61,500,1034,423940,375
2552,60,59,115,2122,200105,86
5393,54,61,500,1034,423940,375
2554,48,77,95,395,30771,71
5396,54,108,500,832,341120,375
2563,60,120,115,2144,202179,86
5405,54,105,500,381,156210,375
2566,48,85,95,562,43780,71
5406,54,117,500,1024,419840,375
5409,54,50,500,534,218940,375
2571,48,73,95,435,33887,71
5420,50,77,500,499,204590,375
2578,60,9,115,654,61672,86
5428,50,67,500,376,154160,375
2588,48,69,95,314,24461,71
5433,50,111,500,424,173840,375
5446,50,13,500,862,353420,375
2591,48,108,95,522,40664,71
5454,50,61,500,1069,438290,375
2598,48,79,95,636,49544,71
5456,50,77,500,516,211560,375
2604,60,27,115,1211,114197,86
5463,50,96,500,521,213610,375
2605,60,38,115,1317,124193,86
5491,50,22,500,454,186140,375
5505,54,112,500,664,272240,375
2606,48,39,95,452,35211,71
5515,54,100,500,579,237390,375
2612,60,83,115,696,65633,86
5519,50,98,500,593,243130,375
2613,60,101,115,1208,113914,86
5526,50,102,500,749,307090,375
2622,48,88,95,543,42300,71
5537,54,50,500,588,241080,375
5539,50,93,500,741,303810,375
2627,48,57,95,744,57958,71
5542,50,108,500,892,365720,375
2632,48,73,95,452,35211,71
5568,54,5,500,1544,633040,375
2635,60,22,115,612,57712,86
5572,54,117,500,1126,461660,375
2638,48,37,95,636,49544,71
5574,50,102,500,776,318160,375
5587,50,98,500,615,252150,375
2641,48,41,95,314,24461,71
5589,50,100,500,602,246820,375
2653,60,28,115,2004,188977,86
5595,54,12,500,584,239440,375
5628,50,92,500,1081,443210,375
2658,48,11,95,438,34120,71
5631,54,57,500,1434,587940,375
2671,48,45,95,335,26097,71
5637,54,71,500,467,191470,375
2672,48,72,95,247,19241,71
5639,54,97,500,345,141450,375
2673,48,76,95,425,33108,71
5640,54,102,500,817,334970,375
2686,48,66,95,291,22669,71
5647,54,40,500,535,219350,375
2692,60,71,115,1678,158235,86
5649,54,80,500,517,211970,375
2695,48,19,95,582,45338,71
5650,50,111,500,499,204590,375
2696,60,24,115,646,60918,86
5650,54,111,500,499,204590,375
2701,60,108,115,1359,128154,86
5664,50,68,500,340,139400,375
2704,60,7,115,1678,158235,86
5669,54,92,500,1118,458380,375
5691,54,102,500,848,347680,375
2705,48,38,95,546,42533,71
5700,50,106,500,744,305040,375
2716,60,34,115,1694,159744,86
5701,54,3,500,809,331690,375
2720,60,64,115,1678,158235,86
2728,60,60,115,900,84870,86
5708,50,10,500,328,134480,375
5708,54,10,500,328,134480,375
2735,48,96,95,338,26330,71
5710,54,20,500,328,134480,375
2737,60,26,115,1479,139470,86
5718,50,40,500,586,240260,375
2751,48,101,95,455,35445,71
5739,54,101,500,720,295200,375
2751,60,101,115,1141,107596,86
5744,54,67,500,420,172200,375
2761,60,51,115,604,56957,86
5745,50,68,500,332,136120,375
2786,60,75,115,1704,160687,86
5755,50,92,500,1184,485440,375
5757,54,24,500,471,193110,375
2799,60,30,115,1768,166722,86
5778,50,49,500,614,251740,375
2803,48,62,95,748,58269,71
5782,54,22,500,572,234520,375
2808,48,86,95,882,68708,71
5791,50,104,500,522,214020,375
2810,48,113,95,425,33108,71
5792,54,112,500,642,263220,375
2825,60,116,115,2210,208403,86
5794,50,72,500,651,266910,375
2834,60,105,115,1269,119667,86
5797,54,52,500,808,331280,375
2835,48,7,95,680,52972,71
4864,50,46,500,472,193520,375
2842,60,11,115,1209,114009,86
4873,50,63,500,977,400570,375
2844,48,22,95,268,20877,71
4883,50,83,500,727,298070,375
2847,60,67,115,1295,122119,86
4894,50,74,500,808,331280,375
4906,50,50,500,719,294790,375
2852,48,73,95,455,35445,71
4907,54,92,500,1155,473550,375
2861,48,19,95,612,47675,71
4908,50,95,500,977,400570,375
2864,60,112,115,1704,160687,86
4912,54,7,500,808,331280,375
2866,60,9,115,724,68273,86
4916,50,72,500,525,215250,375
2876,60,53,115,1252,118064,86
4919,54,8,500,292,119720,375
2877,48,66,95,309,24071,71
4929,54,98,500,824,337840,375
2881,60,28,115,2210,208403,86
4934,50,46,500,502,205820,375
2889,48,78,95,278,21656,71
4942,54,66,500,370,151700,375
2894,48,97,95,612,47675,71
4946,50,15,500,498,204180,375
2901,48,23,95,612,47675,71
4948,50,75,500,824,337840,375
4952,54,79,500,527,216070,375
2904,48,2,95,1108,86313,71
4954,50,95,500,947,388270,375
2914,48,30,95,732,57023,71
4962,50,116,500,606,248460,375
4973,54,63,500,1038,425580,375
2916,60,103,115,1627,153426,86
4978,54,65,500,1648,675680,375
2926,48,119,95,626,48765,71
4980,50,114,500,824,337840,375
3426,48,105,95,610,47519,71
4980,54,114,500,824,337840,375
4987,54,71,500,564,231240,375
3426,60,105,115,1528,144090,86
4988,50,93,500,634,259940,375
3435,60,33,115,1672,157670,86
4994,50,110,500,824,337840,375
3446,60,20,115,710,66953,86
5008,50,61,500,1648,675680,375
3447,60,42,115,1798,169551,86
3454,48,45,95,477,37158,71
5010,54,5,500,1648,675680,375
5014,54,9,500,296,121360,375
3468,60,74,115,1798,169551,86
5017,50,79,500,547,224270,375
3472,60,102,115,1681,158518,86
5023,50,37,500,486,199260,375
3475,48,16,95,459,35756,71
5027,54,91,500,815,334150,375
3479,60,104,115,1771,167005,86
5028,50,38,500,469,192290,375
3481,60,119,115,1619,152672,86
5031,54,120,500,443,181630,375
5037,54,111,500,432,177120,375
3491,60,3,115,2175,205103,86
5044,50,86,500,762,312420,375
3493,48,30,95,918,71512,71
5046,54,5,500,1648,675680,375
3500,48,44,95,531,41365,71
5059,50,105,500,515,211150,375
5060,50,22,500,333,136530,375
3500,60,44,115,1330,125419,86
5061,54,28,500,455,186550,375
3502,48,52,95,718,55932,71
5066,54,117,500,737,302170,375
3503,48,95,95,1436,111864,71
5077,50,27,500,1282,525620,375
3518,60,87,115,998,94111,86
5081,54,79,500,529,216890,375
3520,60,112,115,1798,169551,86
5101,50,102,500,550,225500,375
3525,60,79,115,1798,169551,86
5102,50,103,500,337,138170,375
5105,54,71,500,621,254610,375
3531,48,59,95,972,75719,71
5130,54,66,500,396,162360,375
3532,60,62,115,2589,244143,86
5134,50,117,500,762,312420,375
3538,60,58,115,2436,229715,86
5135,54,26,500,782,320620,375
3541,48,10,95,337,26252,71
5136,50,30,500,737,302170,375
3548,48,19,95,718,55932,71
5137,50,50,500,471,193110,375
3548,60,19,115,1798,169551,86
5146,50,120,500,474,194340,375
5148,50,77,500,733,300530,375
3554,48,92,95,796,62008,71
5151,50,55,500,821,336610,375
3562,60,27,115,1717,161913,86
5156,50,12,500,517,211970,375
3563,60,50,115,1087,102504,86
5163,54,112,500,479,196390,375
3564,60,68,115,1510,142393,86
5166,50,38,500,471,193110,375
5167,54,67,500,304,124640,375
3577,48,44,95,556,43312,71
5169,50,32,500,1670,684700,375
3577,60,44,115,1395,131549,86
5176,54,80,500,617,252970,375
3591,48,42,95,691,53829,71
5191,50,61,500,851,348910,375
3607,48,2,95,1397,108826,71
5194,54,66,500,420,172200,375
3621,48,9,95,360,28044,71
5198,54,18,500,429,175890,375
5201,50,90,500,1251,512910,375
3624,60,85,115,1824,172003,86
5202,50,50,500,501,205410,375
3640,48,100,95,655,51025,71
5210,50,77,500,777,318570,375
3657,48,83,95,396,30848,71
5213,50,91,500,927,380070,375
3679,48,113,95,498,38794,71
5240,54,109,500,399,163590,375
3681,48,45,95,546,42533,71
5257,54,85,500,344,141040,375
3688,60,109,115,866,81664,86
5261,54,5,500,1702,697820,375
3694,60,91,115,2079,196050,86
5265,54,102,500,607,248870,375
3695,48,101,95,626,48765,71
5279,54,95,500,1191,488310,375
3695,60,101,115,1568,147862,86
5285,50,30,500,820,336200,375
3696,48,18,95,480,37392,71
5285,54,30,500,820,336200,375
3696,60,18,115,1203,113443,86
3698,48,33,95,728,56711,71
5303,50,110,500,324,132840,375
3701,48,67,95,651,50713,71
5307,54,105,500,346,141860,375
3708,60,89,115,2352,221794,86
5311,54,26,500,812,332920,375
3712,48,71,95,728,56711,71
5315,50,98,500,536,219760,375
3714,48,102,95,706,54997,71
5323,54,95,500,1274,522340,375
3717,48,36,95,436,33964,71
5334,54,92,500,858,351780,375
3718,60,38,115,1824,172003,86
6299,54,1,500,979,401390,375
3720,48,95,95,1332,103763,71
6302,54,71,500,449,184090,375
3728,48,68,95,633,49311,71
6310,50,100,500,983,403030,375
3731,48,109,95,356,27732,71
6319,54,95,500,1691,693310,375
6322,54,74,500,538,220580,375
3735,48,111,95,283,22046,71
3745,60,10,115,729,68745,86
6324,54,105,500,736,301760,375
3748,60,21,115,902,85059,86
6344,50,87,500,713,292330,375
3750,48,55,95,618,48142,71
6354,50,42,500,401,164410,375
3763,60,2,115,3648,344006,86
6356,50,102,500,1004,411640,375
3777,48,105,95,717,55854,71
6356,54,102,500,1004,411640,375
6368,50,75,500,572,234520,375
3779,60,32,115,3355,316377,86
6374,50,19,500,592,242720,375
3780,60,34,115,2087,196804,86
6376,54,95,500,1778,728980,375
3792,48,108,95,632,49233,71
6379,54,119,500,1045,428450,375
3794,48,48,95,461,35912,71
6380,50,12,500,953,390730,375
3794,60,48,115,1155,108917,86
6398,54,22,500,878,359980,375
3818,60,111,115,699,65916,86
6410,50,96,500,753,308730,375
3828,48,62,95,1212,94415,71
6411,50,105,500,788,323080,375
3832,60,5,115,3112,293462,86
6438,50,117,500,1005,412050,375
3841,60,76,115,1463,137961,86
6439,50,37,500,441,180810,375
6439,54,37,500,441,180810,375
3847,48,56,95,791,61619,71
6440,54,77,500,697,285770,375
3857,48,36,95,438,34120,71
6442,50,1,500,984,403440,375
3873,60,9,115,1034,97506,86
6459,50,31,500,1618,663380,375
2936,48,96,95,374,29135,71
6464,54,74,500,562,230420,375
2951,48,79,95,669,52115,71
6469,50,76,500,371,152110,375
2959,60,89,115,1627,153426,86
6478,50,62,500,724,296840,375
2964,48,59,95,862,67150,71
6483,54,55,500,765,313650,375
6490,50,72,500,668,273880,375
2965,48,90,95,499,38872,71
6501,54,13,500,1020,418200,375
2987,48,70,95,552,43001,71
6506,54,49,500,622,255020,375
2990,60,93,115,3462,326467,86
6507,50,95,500,1541,631810,375
3001,60,71,115,1617,152483,86
6509,54,104,500,576,236160,375
3003,60,118,115,2241,211326,86
6512,50,100,500,1020,418200,375
3010,60,12,115,1435,135321,86
6518,54,119,500,1222,501020,375
3012,60,24,115,717,67613,86
6524,50,79,500,561,230010,375
3013,60,42,115,1730,163139,86
6528,50,18,500,795,325950,375
3023,60,102,115,1401,132114,86
6537,50,41,500,647,265270,375
3044,60,32,115,2509,236599,86
6539,50,117,500,982,402620,375
6543,50,67,500,413,169330,375
3048,48,51,95,272,21189,71
6546,50,6,500,367,150470,375
3049,60,63,115,3115,293745,86
6552,50,56,500,1149,471090,375
3052,48,62,95,849,66137,71
6557,54,110,500,453,185730,375
3059,60,120,115,2162,203877,86
6564,50,74,500,489,200490,375
3074,60,70,115,1314,123910,86
6578,54,79,500,581,238210,375
3076,48,14,95,455,35445,71
6587,54,98,500,612,250920,375
6613,50,41,500,630,258300,375
3078,60,60,115,1115,105145,86
6618,50,74,500,479,196390,375
3100,60,45,115,1020,96186,86
6625,50,68,500,505,207050,375
3111,60,117,115,1536,144845,86
6625,54,68,500,505,207050,375
3112,48,7,95,576,44870,71
6628,54,1,500,1114,456740,375
3114,60,26,115,1843,173795,86
6632,54,76,500,427,175070,375
3120,60,2,115,3029,285635,86
6635,54,92,500,1385,567850,375
3132,48,37,95,690,53751,71
6637,54,15,500,745,305450,375
6658,54,14,500,422,173020,375
3134,60,93,115,3462,326467,86
6668,50,74,500,494,202540,375
3144,60,55,115,1539,145128,86
6668,54,74,500,494,202540,375
3145,48,32,95,1036,80704,71
6670,50,119,500,1256,514960,375
3151,48,68,95,517,40274,71
6680,50,93,500,760,311600,375
6692,50,72,500,771,316110,375
3154,60,97,115,1678,158235,86
6704,54,15,500,771,316110,375
3155,48,110,95,690,53751,71
6705,54,24,500,640,262400,375
3161,48,100,95,691,53829,71
6712,50,114,500,989,405490,375
3173,60,40,115,796,75063,86
6713,50,37,500,448,183680,375
3179,60,51,115,734,69216,86
6717,54,102,500,416,170560,375
6719,54,40,500,692,283720,375
3182,60,101,115,1318,124287,86
6721,50,90,500,1114,456740,375
3183,48,109,95,349,27187,71
6721,54,90,500,1114,456740,375
3186,48,62,95,904,70422,71
6730,54,65,500,1458,597780,375
3197,48,5,95,1414,110151,71
6732,54,96,500,771,316110,375
6734,54,10,500,581,238210,375
3200,60,63,115,3311,312227,86
6737,54,35,500,751,307910,375
3205,60,74,115,1770,166911,86
6746,50,104,500,671,275110,375
3241,60,102,115,1539,145128,86
6756,54,22,500,1058,433780,375
3244,48,15,95,653,50869,71
6759,54,31,500,1967,806470,375
3247,48,91,95,798,62164,71
6772,50,39,500,529,216890,375
3248,48,93,95,1414,110151,71
6779,54,42,500,465,190650,375
6780,54,72,500,777,318570,375
3255,48,58,95,946,73693,71
3257,60,110,115,1770,166911,86
6788,54,80,500,486,199260,375
6794,54,38,500,439,179990,375
3288,60,14,115,1168,110142,86
6819,50,90,500,1146,469860,375
3292,48,116,95,946,73693,71
6828,54,87,500,896,367360,375
3294,48,30,95,827,64423,71
6837,54,41,500,597,244770,375
3301,60,21,115,1026,96752,86
6842,54,22,500,1058,433780,375
3310,48,33,95,664,51726,71
6856,50,61,500,1301,533410,375
3320,48,93,95,1414,110151,71
6859,50,111,500,597,244770,375
3343,48,87,95,378,29446,71
6860,54,23,500,375,153750,375
6862,54,97,500,491,201310,375
3344,60,95,115,3542,334011,86
6897,50,101,500,988,405080,375
3345,60,103,115,1770,166911,86
6904,54,70,500,456,186960,375
3354,60,20,115,683,64407,86
6905,50,86,500,968,396880,375
6929,50,111,500,633,259530,375
6932,54,38,500,483,198030,375
6938,54,26,500,1062,435420,375
6940,54,68,500,590,241900,375
6941,50,96,500,869,356290,375
6948,50,40,500,767,314470,375
3359,48,90,95,554,43157,71
6953,54,50,500,1074,440340,375
3375,60,104,115,1798,169551,86
6958,50,27,500,1818,745380,375
6960,50,102,500,537,220170,375
3377,60,9,115,827,77986,86
6963,54,10,500,606,248460,375
3397,60,112,115,1744,164459,86
6965,54,80,500,488,200080,375
3404,48,60,95,539,41988,71
6966,54,67,500,456,186960,375
3404,60,60,115,1351,127399,86
6979,54,78,500,569,233290,375
3407,60,99,115,916,86379,86
6993,54,85,500,499,204590,375
3409,48,27,95,636,49544,71
6998,50,86,500,1003,411230,375
3412,48,39,95,621,48376,71
7002,54,98,500,767,314470,375
7022,50,83,500,388,159080,375
3912,48,14,95,572,44559,71
7024,54,102,500,574,235340,375
3917,60,18,115,1342,126551,86
7036,50,78,500,607,248870,375
3923,48,19,95,706,54997,71
7051,54,36,500,492,201720,375
3932,60,85,115,1836,173135,86
7058,50,56,500,1281,525210,375
3933,48,90,95,750,58425,71
7060,50,74,500,618,253380,375
3940,48,107,95,468,36457,71
7082,50,71,500,486,199260,375
3963,60,40,115,1062,100147,86
7093,50,78,500,629,257890,375
3965,60,73,115,1453,137018,86
7102,50,83,500,399,163590,375
3967,60,1,115,3262,307607,86
7113,54,68,500,672,275520,375
7131,50,42,500,514,210740,375
7150,50,77,500,836,342760,375
7152,54,13,500,1094,448540,375
3972,48,113,95,554,43157,71
7160,50,40,500,760,311600,375
3977,60,37,115,1864,175775,86
7168,50,69,500,394,161540,375
3981,48,27,95,859,66916,71
7174,54,57,500,2359,967190,375
3986,60,10,115,859,81004,86
7181,50,75,500,771,316110,375
7185,54,50,500,1110,455100,375
3999,60,65,115,3441,324486,86
7191,50,19,500,932,382120,375
4002,48,96,95,648,50479,71
7228,50,17,500,455,186550,375
4020,60,115,115,1493,140790,86
7240,50,74,500,677,277570,375
4049,60,93,115,3782,356643,86
7250,50,109,500,527,216070,375
4050,48,101,95,659,51336,71
7267,54,45,500,538,220580,375
4072,48,103,95,754,58737,71
7271,54,112,500,915,375150,375
7295,50,56,500,1480,606800,375
4078,48,74,95,754,58737,71
7297,50,101,500,1110,455100,375
4081,48,19,95,704,54842,71
7312,50,37,500,621,254610,375
4092,60,85,115,1890,178227,86
7315,50,90,500,1669,684290,375
4093,60,88,115,2020,190486,86
7316,54,111,500,749,307090,375
4099,48,12,95,599,46662,71
7317,54,18,500,754,309140,375
4101,48,33,95,890,69331,71
7320,54,50,500,1110,455100,375
4102,48,45,95,599,46662,71
7334,54,104,500,826,338660,375
4110,60,48,115,1313,123816,86
7339,54,85,500,424,173840,375
4116,48,37,95,754,58737,71
7341,54,26,500,1295,530950,375
4125,48,120,95,1068,83197,71
7345,50,109,500,577,236570,375
7347,54,100,500,1132,464120,375
4127,60,16,115,1105,104202,86
7349,54,13,500,1075,440750,375
4138,60,59,115,2635,248481,86
7359,54,110,500,447,183270,375
4141,60,75,115,1890,178227,86
7362,54,111,500,803,329230,375
4143,60,94,115,3782,356643,86
7370,54,75,500,854,350140,375
4145,60,21,115,1067,100618,86
7377,50,81,500,447,183270,375
4155,60,37,115,1795,169269,86
7381,50,49,500,752,308320,375
7388,50,52,500,1013,415330,375
4164,48,102,95,754,58737,71
7389,50,72,500,849,348090,375
4175,48,36,95,392,30537,71
7397,50,87,500,1100,451000,375
4185,48,2,95,1510,117629,71
7418,50,105,500,871,357110,375
4186,48,18,95,591,46039,71
7419,54,110,500,464,190240,375
4198,60,38,115,1795,169269,86
7427,54,86,500,1046,428860,375
4217,48,31,95,1217,94804,71
7429,50,36,500,594,243540,375
7452,50,22,500,1132,464120,375
4218,60,41,115,1505,141922,86
7454,50,104,500,854,350140,375
4220,48,59,95,1100,85690,71
7459,50,49,500,781,320210,375
4221,48,81,95,754,58737,71
7477,50,6,500,409,167690,375
4224,48,14,95,635,49467,71
7479,50,26,500,1457,597370,375
4225,48,25,95,643,50090,71
7496,54,117,500,1163,476830,375
4228,60,69,115,843,79495,86
7520,54,104,500,825,338250,375
4232,60,100,115,1918,180867,86
7522,54,18,500,865,354650,375
4238,60,107,115,1256,118441,86
7544,54,17,500,450,184500,375
4241,48,15,95,766,59671,71
7553,50,52,500,1015,416150,375
4243,48,27,95,891,69409,71
7554,54,74,500,721,295610,375
4247,60,113,115,1563,147391,86
7570,54,96,500,1055,432550,375
4262,60,105,115,1822,171815,86
7571,50,102,500,646,264860,375
4263,48,12,95,654,50947,71
7586,50,106,500,917,375970,375
4275,48,21,95,467,36379,71
7596,50,100,500,1096,449360,375
7608,50,45,500,657,269370,375
4285,60,18,115,1428,134660,86
4287,60,55,115,1716,161819,86
7612,54,96,500,1096,449360,375
7621,54,97,500,657,269370,375
4290,60,85,115,1918,180867,86
7625,50,23,500,415,170150,375
4291,48,92,95,865,67384,71
7629,54,79,500,778,318980,375
4292,48,2,95,1455,113345,71
7634,50,112,500,1017,416970,375
4300,48,53,95,532,41443,71
7647,50,74,500,625,256250,375
7653,54,80,500,637,261170,375
4304,60,13,115,1918,180867,86
7659,50,77,500,772,316520,375
4311,60,52,115,1860,175398,86
7659,54,77,500,772,316520,375
4312,48,76,95,658,51258,71
7674,50,108,500,830,340300,375
7674,54,108,500,830,340300,375
4313,60,87,115,1446,136358,86
7691,50,23,500,427,175070,375
4317,48,32,95,1463,113968,71
7735,54,49,500,865,354650,375
7737,54,98,500,889,364490,375
7740,54,22,500,1170,479700,375
7755,54,114,500,1170,479700,375
499,6,30,500,52,21320,375
500,34,37,500,118,48380,375
4323,48,104,95,766,59671,71
504,34,9,500,103,42230,375
4324,48,1,95,1501,116928,71
510,34,102,500,127,52070,375
4325,60,17,115,853,80438,86
539,6,55,500,74,30340,375
549,6,102,500,81,33210,375
4328,48,97,95,674,52505,71
556,6,39,500,58,23780,375
4346,48,72,95,390,30381,71
560,6,52,500,53,21730,375
4357,48,101,95,723,56322,71
560,34,52,500,89,36490,375
4364,60,98,115,1918,180867,86
561,6,89,500,66,27060,375
4369,48,67,95,727,56633,71
563,6,50,500,51,20910,375
566,6,11,500,63,25830,375
4373,60,38,115,1918,180867,86
571,34,13,500,117,47970,375
4377,60,23,115,1889,178133,86
574,6,77,500,45,18450,375
4391,60,34,115,1879,177190,86
590,6,46,500,78,31980,375
4404,48,16,95,482,37548,71
4405,48,40,95,490,38171,71
4407,60,79,115,1918,180867,86
4419,60,71,115,1860,175398,86
4421,60,2,115,3857,363715,86
4429,48,78,95,418,32562,71
4435,48,47,95,297,23136,71
4453,60,10,115,1037,97789,86
4468,60,84,115,773,72894,86
4470,60,22,115,1419,133812,86
4496,60,2,115,3916,369279,86
4508,60,58,115,2850,268755,86
4509,48,77,95,578,45026,71
4514,48,43,95,520,40508,71
4517,60,114,115,1958,184639,86
592,34,86,500,134,54940,375
598,6,85,500,61,25010,375
617,34,11,500,109,44690,375
619,34,28,500,116,47560,375
620,6,65,500,151,61910,375
629,6,12,500,68,27880,375
635,34,58,500,124,50840,375
644,34,71,500,177,72570,375
667,6,93,500,148,60680,375
667,34,93,500,247,101270,375
672,6,28,500,71,29110,375
